label,pattern,attr,replace,category,hyphenate,pos
part,capsules,lower,capsule,,,NOUN
part,carpel,lower,carpel,,,NOUN
part,carpels,lower,carpel,,,NOUN
part,caudex,lower,caudex,,,NOUN
part,caudices,lower,caudex,,,NOUN
part,corolla,lower,corolla,,,NOUN
part,corollas,lower,corolla,,,NOUN
part,cotyledon,lower,cotyledon,,,NOUN
part,cotyledons,lower,cotyledon,,,NOUN
part,cyme,lower,cyme,,,NOUN
part,cymes,lower,cyme,,,NOUN
part,drupe,lower,drupe,,,NOUN
part,drupes,lower,drupe,,,NOUN
part,filament,lower,filament,,,NOUN
part,filaments,lower,filament,,,NOUN
part,floral bracts,lower,bract,,,NOUN
part,floral leaves,lower,leaf,,,NOUN
part,flower,lower,flower,,,NOUN
part,flowering branch,lower,branch,,,NOUN
part,flowering branches,lower,branch,,,NOUN
part,flowering stem,lower,stem,,,NOUN
part,flowering stems,lower,stem,,,NOUN
part,flowers,lower,flower,,,NOUN
part,fruit,lower,fruit,,,NOUN
part,fruiting perianth,lower,perianth,,,NOUN
part,fruits,lower,fruit,,,NOUN
part,glomerule,lower,glomerule,,,NOUN
part,glomerules,lower,glomerule,,,NOUN
part,gynoecia,lower,carpel,,,NOUN
part,gynoecium,lower,carpel,,,NOUN
part,hypanthia,lower,hypanthium,,,NOUN
part,hypanthium,lower,hypanthium,,,NOUN
part,inflorescence,lower,inflorescence,,,NOUN
part,inflorescences,lower,inflorescence,,,NOUN
part,inflorescenses,lower,inflorescence,,,NOUN
part,leaf,lower,leaf,,,NOUN
part,leaf blade,lower,leaf,,,NOUN
part,leaf blades,lower,leaf,,,NOUN
part,leaflet,lower,leaflet,,leaf-let,NOUN
part,leaflet blade,lower,leaflet,,leaf-let blade,NOUN
part,leaflet blades,lower,leaflet,,leaf-let blades,NOUN
part,leaflets,lower,leaflet,,leaf-lets,NOUN
part,leaves,lower,leaf,,,NOUN
part,legume,lower,legume,,,NOUN
part,legumes,lower,legume,,,NOUN
part,non-flowering branch,lower,branch,,,NOUN
part,non-flowering branches,lower,branch,,,NOUN
part,non-flowering stem,lower,stem,,,NOUN
part,non-flowering stems,lower,stem,,,NOUN
part,ovaries,lower,ovary,,,NOUN
part,ovary,lower,ovary,,,NOUN
part,ovule,lower,ovary,,,NOUN
part,ovules,lower,ovary,,,NOUN
part,pedicel,lower,pedicel,,,NOUN
part,pedicels,lower,pedicel,,,NOUN
part,peduncle,lower,peduncle,,,NOUN
part,peduncle plus floral axis,lower,,,,NOUN
part,peduncles,lower,peduncle,,,NOUN
part,pepo,lower,pepo,,,NOUN
part,pepos,lower,pepo,,,NOUN
part,perianth,lower,perianth,,,NOUN
part,perigonium,lower,perianth,,,NOUN
part,petal,lower,petal,,,NOUN
part,petals,lower,petal,,,NOUN
part,petiole,lower,petiole,,,NOUN
part,petiole blade,lower,petiole,,,NOUN
part,petiole blades,lower,petiole,,,NOUN
part,petioles,lower,petiole,,,NOUN
part,petiolule,lower,petiole,,,NOUN
part,petiolules,lower,petiole,,,NOUN
part,pistil,lower,carpel,,,NOUN
part,pistillode,lower,pistil,,,NOUN
part,pistillodes,lower,pistil,,,NOUN
part,pistils,lower,carpel,,,NOUN
part,pistil,lower,pistil,,,NOUN
part,plant,lower,plant,,,NOUN
part,plants,lower,plant,,,NOUN
part,raceme,lower,inflorescence,,ra-ceme,NOUN
part,racemes,lower,inflorescence,,ra-cemes,NOUN
part,root,lower,root,,,NOUN
part,roots,lower,root,,,NOUN
part,rootstock,lower,rootstock,,,NOUN
part,rootstocks,lower,rootstock,,,NOUN
part,rosette,lower,rosette,,,NOUN
part,rosettes,lower,rosette,,,NOUN
part,seed,lower,seed,,,NOUN
part,seeds,lower,seed,,,NOUN
part,sepal,lower,sepal,,,NOUN
part,sepals,lower,sepal,,,NOUN
part,spike,lower,inflorescence,,,NOUN
part,spikes,lower,inflorescence,,,NOUN
part,stamen,lower,stamen,,,NOUN
part,stamens,lower,stamen,,,NOUN
part,staminode,lower,stamen,,,NOUN
part,staminodes,lower,stamen,,,NOUN
part,stem,lower,stem,,,NOUN
part,stems,lower,stem,,,NOUN
part,stigma,lower,stigma,,,NOUN
part,stigmas,lower,stigma,,,NOUN
part,stipule,lower,stipule,,,NOUN
